"Term";"Term_Token";"POS";"POS_Token";"Is_gold_term";"Mean_predictions";"Mean_predictions_tf";"Prediction_model_tf";"Prediction_model_tf2";"Prediction_model_tf_embe";"Prediction_model_tf_lstm";"Predictions_m_tk";"Prediction_model_tk_1";"Prediction_model_tk_2";"Prediction_model_tk_3";"Predictions_m_vc";"Prediction_model_vc_4";"Prediction_model_vc_5";"Prediction_model_vc_6"
"ncse";"[735, 0, 0]";"propn";"[3, 0, 0]";"True";"0,2857142857142857";"0,35768947";"0,3987476";"0,49794024";"0,40356943";"0,13050053";"1";"1";"1";"0";"1";"1";"1";"1"
"primary setting";"[21, 15, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,8413352";"0,8667453";"0,5317429";"0,9701327";"0,9967197";"1";"1";"1";"0";"1";"1";"1";"1"
"oﬄine study";"[344, 27, 0]";"noun noun";"[1, 1, 0]";"True";"0,42857142857142855";"0,37036133";"0,4025628";"0,65389884";"0,26183754";"0,16314626";"1";"1";"1";"0";"1";"1";"1";"1"
"boshoff university";"[397, 47, 0]";"propn propn";"[3, 3, 0]";"True";"0,7142857142857143";"0,737845";"0,42812333";"0,73754615";"0,85092753";"0,934783";"1";"1";"1";"0";"1";"1";"1";"1"
"reflexivity";"[405, 0, 0]";"verb";"[4, 0, 0]";"True";"0,2857142857142857";"0,3353117";"0,39875013";"0,49012437";"0,38838726";"0,06398507";"1";"1";"1";"0";"1";"1";"1";"1"
"high intensity therapy";"[133, 459, 1]";"adj noun noun";"[2, 1, 1]";"True";"0,8571428571428571";"0,8373284";"0,6165823";"0,9962453";"0,7962712";"0,9402149";"1";"1";"1";"0";"1";"1";"1";"1"
"developmental neurorehabilitation";"[34, 270, 0]";"adj noun";"[2, 1, 0]";"True";"1,0";"0,84077835";"0,58166975";"0,8928241";"0,89712274";"0,99149674";"1";"1";"1";"1";"1";"1";"1";"1"
"occupational science";"[3, 98, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,7750201";"0,49443635";"0,6254072";"0,9831699";"0,9970671";"1";"1";"1";"1";"1";"1";"1";"1"
"cue";"[457, 0, 0]";"noun";"[1, 0, 0]";"True";"0,42857142857142855";"0,32668296";"0,39875045";"0,5029604";"0,31913918";"0,08588179";"1";"1";"1";"0";"1";"1";"1";"1"
"draft datum extraction";"[254, 140, 90]";"verb noun noun";"[4, 1, 1]";"True";"1,0";"0,7649721";"0,8515605";"0,64915484";"0,6715876";"0,88758576";"1";"1";"1";"1";"1";"1";"1";"1"
"reliable checklist";"[292, 631, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,8273736";"0,6839233";"0,9998761";"0,7732715";"0,85242367";"1";"1";"1";"0";"1";"1";"1";"1"
"occupational therapy expertise";"[3, 1, 645]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,9894302";"0,99623805";"1,0";"0,96696174";"0,9945212";"1";"1";"1";"1";"1";"1";"1";"1"
"virtual scavenger hunt";"[69, 97, 187]";"adj noun noun";"[2, 1, 1]";"True";"0,5714285714285714";"0,4568532";"0,28016004";"0,9692139";"0,25470603";"0,32333297";"1";"1";"1";"1";"1";"1";"1";"1"
"pediatric residency training";"[6, 30, 12]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,8299258";"0,9700847";"0,55492634";"0,8154157";"0,9792764";"1";"1";"1";"1";"1";"1";"1";"1"
"group responsibility";"[95, 352, 0]";"noun noun";"[1, 1, 0]";"False";"0,5714285714285714";"0,49647146";"0,6068672";"0,98481363";"0,16283992";"0,23136525";"1";"1";"1";"0";"1";"1";"1";"1"
"lcreighton university";"[621, 47, 0]";"propn propn";"[3, 3, 0]";"False";"0,7142857142857143";"0,7387966";"0,41345337";"0,74910635";"0,84544104";"0,94718546";"1";"1";"1";"0";"1";"1";"1";"1"
"participant interaction";"[57, 244, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,8329107";"0,6009534";"0,9451109";"0,81316197";"0,97241664";"1";"1";"1";"0";"1";"1";"1";"1"
"pediatric outpatient rehabilitation";"[6, 42, 9]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,83180493";"0,9131659";"0,59095156";"0,85855234";"0,96454984";"1";"1";"1";"1";"1";"1";"1";"1"
"sage handbook";"[545, 546, 0]";"noun noun";"[1, 1, 0]";"True";"0,42857142857142855";"0,52718884";"0,47387666";"0,83559376";"0,4948097";"0,30447537";"1";"1";"1";"0";"1";"1";"1";"1"
"clinical competency";"[10, 78, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,7554531";"0,39265916";"0,66983086";"0,9729059";"0,9864165";"1";"1";"1";"1";"1";"1";"1";"1"
"occupational perspective";"[3, 285, 0]";"adj noun";"[2, 1, 0]";"True";"1,0";"0,807566";"0,52446216";"0,7368497";"0,9732367";"0,9957153";"1";"1";"1";"1";"1";"1";"1";"1"
"osce";"[143, 0, 0]";"adv";"[5, 0, 0]";"True";"0,5714285714285714";"0,6455473";"0,39751542";"0,48090616";"0,80418575";"0,8995818";"1";"1";"1";"0";"1";"1";"1";"1"
"therapy practice framework";"[1, 2, 85]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,8605881";"0,9975851";"0,99635565";"0,53284645";"0,91556495";"1";"1";"1";"1";"1";"1";"1";"1"
"school therapy";"[16, 1, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,7204017";"0,9770473";"0,5079877";"0,54725075";"0,8493211";"1";"1";"1";"0";"1";"1";"1";"1"
"session duration";"[273, 698, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,69237864";"0,629281";"0,9999316";"0,4773474";"0,6629545";"1";"1";"0";"0";"1";"1";"1";"1"
"delivery mode";"[49, 764, 0]";"noun noun";"[1, 1, 0]";"False";"0,5714285714285714";"0,49514815";"0,5803638";"0,986431";"0,123553365";"0,2902443";"1";"1";"0";"1";"1";"1";"1";"1"
"scatterplot";"[544, 0, 0]";"noun";"[1, 0, 0]";"True";"0,42857142857142855";"0,32544336";"0,39874893";"0,5039455";"0,3024456";"0,096633345";"1";"1";"1";"0";"1";"1";"1";"1"
"universal model";"[227, 23, 0]";"adj noun";"[2, 1, 0]";"True";"0,42857142857142855";"0,32565";"0,40156382";"0,63048214";"0,18769072";"0,082863286";"1";"1";"1";"0";"1";"1";"1";"1"
"pmr";"[465, 0, 0]";"noun";"[1, 0, 0]";"False";"0,42857142857142855";"0,3716648";"0,39875028";"0,5030513";"0,36713096";"0,21772663";"1";"1";"1";"0";"1";"1";"1";"1"
"current rehabilitation practice";"[184, 9, 2]";"adj noun noun";"[2, 1, 1]";"True";"0,7142857142857143";"0,6776234";"0,398813";"0,5560855";"0,8020542";"0,95354074";"1";"1";"1";"0";"1";"1";"1";"1"
"scope review";"[693, 73, 0]";"propn noun";"[3, 1, 0]";"False";"0,42857142857142855";"0,48845744";"0,44330442";"0,8461018";"0,48373938";"0,18068404";"1";"1";"1";"0";"1";"1";"1";"1"
"room learning";"[24, 13, 0]";"noun verb";"[1, 4, 0]";"True";"0,8571428571428571";"0,72380126";"0,90350634";"0,5303848";"0,57185644";"0,8894576";"1";"1";"1";"0";"1";"1";"1";"1"
"senior grade";"[289, 51, 0]";"adj noun";"[2, 1, 0]";"False";"0,7142857142857143";"0,71427345";"0,43531632";"0,64572173";"0,8794444";"0,8966116";"1";"1";"1";"0";"1";"1";"1";"1"
"discrete motor skill";"[135, 4, 5]";"adj noun noun";"[2, 1, 1]";"True";"0,7142857142857143";"0,67922395";"0,39965743";"0,5290386";"0,8213359";"0,96686393";"1";"1";"1";"0";"1";"1";"1";"1"
"unified management";"[514, 266, 0]";"verb noun";"[4, 1, 0]";"False";"0,5714285714285714";"0,4410245";"0,51257133";"0,8226287";"0,25656945";"0,17232864";"1";"1";"1";"0";"1";"1";"1";"1"
"handwriting skill acquisition";"[107, 5, 235]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,9721849";"0,99708736";"0,99997896";"0,912342";"0,97933114";"1";"1";"1";"1";"1";"1";"1";"1"
"professional cooperation";"[32, 543, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,6432079";"0,54143023";"0,95402133";"0,31185132";"0,7655288";"1";"1";"1";"1";"1";"1";"1";"1"
"borderline grade";"[531, 51, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,575087";"0,43613783";"0,76838595";"0,66494054";"0,4308836";"1";"1";"1";"0";"1";"1";"1";"1"
"simulation platform";"[36, 195, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,77276486";"0,5803882";"0,8716533";"0,72961336";"0,9094045";"1";"1";"1";"0";"1";"1";"1";"1"
"escape room game";"[41, 24, 279]";"verb noun noun";"[4, 1, 1]";"True";"0,8571428571428571";"0,81210315";"0,9974621";"0,99999994";"0,3940743";"0,8568764";"1";"1";"1";"1";"1";"1";"1";"1"
"total correlation";"[209, 146, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,60973907";"0,45088914";"0,70434886";"0,54253536";"0,74118286";"1";"1";"1";"0";"1";"1";"1";"1"
"occupational therapy vision";"[3, 1, 416]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,9903031";"0,9962447";"1,0";"0,97066766";"0,9943001";"1";"1";"1";"1";"1";"1";"1";"1"
"psychometric evaluation";"[137, 79, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,74416447";"0,44432095";"0,63393724";"0,9246965";"0,97370315";"1";"1";"1";"0";"1";"1";"1";"1"
"validity index";"[88, 43, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,37007836";"0,39860725";"0,5533726";"0,5146392";"0,013694391";"1";"1";"1";"0";"0";"0";"1";"1"
"social medium outlet";"[495, 496, 497]";"propn propn noun";"[3, 3, 1]";"True";"0,5714285714285714";"0,45163077";"0,8165652";"0,16643032";"0,47671112";"0,34681648";"1";"1";"1";"1";"1";"1";"1";"1"
"standard occupational therapy";"[454, 3, 1]";"adj adj noun";"[2, 2, 1]";"True";"0,7142857142857143";"0,6700222";"0,39875242";"0,5283958";"0,7701517";"0,98278874";"1";"1";"1";"0";"1";"1";"1";"1"
"thematic content analysis";"[106, 63, 59]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,7307955";"0,68371296";"0,56282634";"0,7634879";"0,9131547";"1";"1";"1";"1";"1";"1";"1";"1"
"philosophical base";"[421, 422, 0]";"adj noun";"[2, 1, 0]";"False";"0,42857142857142855";"0,51428294";"0,47414175";"0,7867953";"0,42870313";"0,3674914";"0";"1";"1";"0";"1";"1";"1";"1"
"video scoring";"[253, 110, 0]";"noun noun";"[1, 1, 0]";"True";"0,7142857142857143";"0,6306908";"0,5013383";"0,5885873";"0,45824885";"0,9745888";"1";"1";"1";"0";"1";"1";"1";"1"
"peer briefing";"[134, 401, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,80053395";"0,63278925";"0,99447495";"0,7000474";"0,87482435";"1";"1";"1";"0";"1";"1";"1";"1"
"playtime";"[748, 0, 0]";"adj";"[2, 0, 0]";"True";"0,42857142857142855";"0,34665248";"0,39874756";"0,50216967";"0,34452677";"0,14116584";"1";"1";"1";"0";"1";"1";"1";"1"
"assessment practice";"[28, 2, 0]";"noun noun";"[1, 1, 0]";"True";"0,7142857142857143";"0,5202213";"0,842345";"0,5129698";"0,5417416";"0,18382886";"1";"1";"1";"0";"1";"1";"1";"1"
"experienced occupational therapist";"[772, 3, 11]";"verb adj noun";"[4, 2, 1]";"True";"0,7142857142857143";"0,64113164";"0,39877707";"0,53690225";"0,64359564";"0,9852516";"1";"1";"1";"0";"1";"1";"1";"1"
"practice technique";"[2, 460, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,7039825";"0,5254558";"0,81198007";"0,58235216";"0,89614195";"1";"1";"0";"1";"1";"1";"1";"1"
"primary workplace";"[21, 383, 0]";"adj noun";"[2, 1, 0]";"True";"1,0";"0,8327111";"0,53136307";"0,8933543";"0,9138128";"0,99231416";"1";"1";"1";"1";"1";"1";"1";"1"
"query record";"[738, 739, 0]";"propn noun";"[3, 1, 0]";"True";"0,42857142857142855";"0,50865525";"0,47270122";"0,90429294";"0,34280777";"0,31481916";"1";"1";"1";"0";"1";"1";"1";"1"
"adolescent mental health";"[612, 45, 17]";"adj adj noun";"[2, 2, 1]";"True";"0,7142857142857143";"0,70182383";"0,4733773";"0,74301386";"0,61400074";"0,97690344";"1";"1";"1";"0";"1";"1";"1";"1"
"online research";"[101, 62, 0]";"adj noun";"[2, 1, 0]";"True";"0,42857142857142855";"0,309504";"0,42220098";"0,60144454";"0,11177393";"0,10259654";"1";"1";"1";"0";"1";"1";"1";"1"
"practice process";"[2, 22, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,69075906";"0,32651013";"0,551586";"0,89985335";"0,9850867";"1";"1";"1";"1";"1";"1";"1";"1"
"training need";"[12, 58, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,7267846";"0,31100008";"0,659772";"0,94026333";"0,99610305";"1";"1";"1";"1";"1";"1";"1";"1"
"pubmed";"[226, 0, 0]";"verb";"[4, 0, 0]";"True";"0,5714285714285714";"0,56637454";"0,3984189";"0,48738292";"0,6218157";"0,75788057";"1";"1";"1";"0";"1";"1";"1";"1"
"intraclass correlation";"[174, 146, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,52592266";"0,46009526";"0,63530254";"0,37589383";"0,632399";"1";"1";"1";"0";"1";"1";"1";"1"
"discrete step";"[135, 450, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,8347285";"0,6140964";"0,99629194";"0,77334493";"0,9551805";"1";"1";"1";"0";"1";"1";"1";"1"
"care health";"[14, 17, 0]";"verb noun";"[4, 1, 0]";"False";"0,8571428571428571";"0,79631656";"0,82866305";"0,5462387";"0,8140229";"0,9963415";"1";"1";"1";"0";"1";"1";"1";"1"
"fundamental motor skill";"[527, 4, 5]";"adj noun noun";"[2, 1, 1]";"True";"0,7142857142857143";"0,6426717";"0,39876682";"0,5461057";"0,73453826";"0,8912762";"1";"1";"1";"0";"1";"1";"1";"1"
"program model";"[39, 23, 0]";"noun noun";"[1, 1, 0]";"True";"0,7142857142857143";"0,6299711";"0,4915185";"0,54224175";"0,50337535";"0,98274875";"1";"1";"1";"0";"1";"1";"1";"1"
"functional therapy program";"[46, 1, 39]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,8778873";"0,9965649";"0,60279256";"0,9298464";"0,98234534";"1";"1";"1";"1";"1";"1";"1";"1"
"world health organization";"[724, 17, 725]";"propn noun noun";"[3, 1, 1]";"True";"1,0";"0,9426125";"0,9972079";"0,9999982";"0,82961565";"0,94362825";"1";"1";"1";"1";"1";"1";"1";"1"
"generational theory";"[754, 18, 0]";"adj noun";"[2, 1, 0]";"True";"0,42857142857142855";"0,36555544";"0,39875543";"0,62746406";"0,3280703";"0,107932";"1";"1";"1";"0";"1";"1";"1";"1"
"therapy referral rate";"[1, 31, 71]";"noun noun noun";"[1, 1, 1]";"True";"1,0";"0,89979136";"0,9772009";"0,92722267";"0,72549254";"0,9692493";"1";"1";"1";"1";"1";"1";"1";"1"
"occupational therapy research";"[3, 1, 62]";"adj noun noun";"[2, 1, 1]";"True";"1,0";"0,9860764";"0,99749696";"0,98276514";"0,9698218";"0,99422187";"1";"1";"1";"1";"1";"1";"1";"1"
"care escape room";"[14, 41, 24]";"noun noun noun";"[1, 1, 1]";"True";"0,8571428571428571";"0,76850253";"0,9821265";"0,49537575";"0,6076639";"0,98884386";"1";"1";"1";"1";"1";"1";"1";"1"
"recognizable beginning";"[702, 703, 0]";"adj noun";"[2, 1, 0]";"True";"0,42857142857142855";"0,5017147";"0,473135";"0,8917482";"0,3641688";"0,27780685";"1";"1";"1";"0";"1";"1";"1";"1"
"manual motor performance";"[564, 4, 25]";"adj noun noun";"[2, 1, 1]";"True";"0,7142857142857143";"0,6057882";"0,43163857";"0,5569113";"0,6603769";"0,77422595";"1";"1";"1";"0";"1";"1";"1";"1"
"direct intervention model";"[228, 7, 23]";"adj noun noun";"[2, 1, 1]";"True";"0,7142857142857143";"0,70923173";"0,44062963";"0,56123734";"0,8984098";"0,93665016";"1";"1";"1";"0";"1";"1";"1";"1"
"adult motor learning";"[260, 4, 13]";"noun noun noun";"[1, 1, 1]";"True";"0,7142857142857143";"0,67003256";"0,40284684";"0,53979784";"0,8077277";"0,92975783";"1";"1";"1";"0";"1";"1";"1";"1"
"neural correlate";"[742, 743, 0]";"propn propn";"[3, 3, 0]";"True";"0,42857142857142855";"0,53673786";"0,47293073";"0,9058491";"0,47548938";"0,29268214";"0";"1";"1";"0";"1";"1";"1";"1"
"rating scale score";"[65, 66, 38]";"noun noun noun";"[1, 1, 1]";"True";"0,7142857142857143";"0,5636445";"0,22851707";"0,34827602";"0,79244065";"0,8853445";"1";"1";"1";"1";"1";"1";"1";"1"
"prevalent theory";"[478, 18, 0]";"adj noun";"[2, 1, 0]";"True";"0,42857142857142855";"0,3518195";"0,3988926";"0,6132372";"0,33551374";"0,05963447";"1";"1";"1";"0";"1";"1";"1";"1"
"contextual interference";"[301, 302, 0]";"adj noun";"[2, 1, 0]";"False";"0,5714285714285714";"0,6431005";"0,47574133";"0,72368026";"0,48734802";"0,8856324";"1";"1";"1";"0";"1";"1";"1";"1"
"available course";"[52, 298, 0]";"adj noun";"[2, 1, 0]";"True";"0,7142857142857143";"0,6569088";"0,5964833";"0,9449757";"0,33697245";"0,74920386";"1";"1";"1";"0";"1";"1";"1";"1"
"snowball sample";"[170, 123, 0]";"adj noun";"[2, 1, 0]";"False";"0,7142857142857143";"0,66299766";"0,4420951";"0,6700353";"0,6683394";"0,87152094";"1";"1";"1";"0";"1";"1";"1";"1"
"task requirement";"[35, 723, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,75324416";"0,53792953";"0,9762577";"0,51486367";"0,9839259";"1";"1";"0";"1";"1";"1";"1";"1"
"developmental motor";"[34, 4, 0]";"adj noun";"[2, 1, 0]";"False";"0,8571428571428571";"0,7842626";"0,69970083";"0,5217893";"0,92498195";"0,9905784";"1";"1";"1";"0";"1";"1";"1";"1"
"harris university";"[653, 47, 0]";"propn propn";"[3, 3, 0]";"True";"0,7142857142857143";"0,7314759";"0,4115279";"0,7496882";"0,8263255";"0,93836194";"1";"1";"1";"0";"1";"1";"1";"1"
"accountability subscale";"[720, 236, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,58030933";"0,44836217";"0,7747289";"0,28770223";"0,81044406";"1";"1";"1";"0";"1";"1";"1";"1"
"rater reliability score";"[194, 74, 38]";"propn noun noun";"[3, 1, 1]";"True";"1,0";"0,7118545";"0,5365202";"0,56271935";"0,8103882";"0,93779033";"1";"1";"1";"1";"1";"1";"1";"1"
"peabody developmental";"[669, 34, 0]";"adj noun";"[2, 1, 0]";"True";"0,5714285714285714";"0,62519467";"0,40046924";"0,6960462";"0,4547167";"0,9495465";"1";"1";"1";"0";"1";"1";"1";"1"
"different kinematic profile";"[414, 415, 229]";"adj adj noun";"[2, 2, 1]";"True";"0,5714285714285714";"0,3552329";"0,22854483";"0,020118667";"0,43318024";"0,7390879";"1";"1";"1";"1";"1";"1";"1";"1"
"short term rehabilitation";"[759, 252, 9]";"adj noun noun";"[2, 1, 1]";"True";"0,5714285714285714";"0,5731378";"0,46792558";"0,77575564";"0,60202193";"0,44684815";"1";"1";"1";"0";"1";"1";"1";"1"
"therapy implementation";"[1, 609, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,47289708";"0,525333";"0,86407846";"0,3619879";"0,14018905";"1";"1";"0";"1";"1";"1";"1";"1"
"service impediment";"[20, 662, 0]";"noun noun";"[1, 1, 0]";"True";"0,7142857142857143";"0,624541";"0,5283645";"0,9490667";"0,59224963";"0,42848316";"1";"1";"0";"1";"1";"1";"1";"1"
"tiered approach";"[766, 26, 0]";"adj noun";"[2, 1, 0]";"False";"0,5714285714285714";"0,5902679";"0,39881352";"0,6653883";"0,3711601";"0,9257096";"1";"1";"1";"0";"1";"1";"1";"1"
"fife child";"[359, 44, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,6481771";"0,43356973";"0,6986738";"0,49042198";"0,9700428";"1";"1";"1";"0";"1";"1";"1";"1"
"sample bias";"[123, 158, 0]";"noun noun";"[1, 1, 0]";"True";"0,42857142857142855";"0,34300914";"0,4033266";"0,6985925";"0,24939689";"0,020720558";"1";"1";"1";"0";"0";"1";"1";"1"
"therapy service delivery";"[1, 20, 49]";"noun noun noun";"[1, 1, 1]";"True";"0,7142857142857143";"0,62430584";"0,97090995";"0,8592619";"0,37565422";"0,29139733";"1";"1";"1";"1";"1";"1";"1";"1"
"coordination disorder";"[117, 118, 0]";"noun noun";"[1, 1, 0]";"True";"0,5714285714285714";"0,62052083";"0,47564033";"0,5991094";"0,42675677";"0,9805769";"1";"1";"1";"0";"1";"1";"1";"1"
"professional reasoning skill";"[32, 100, 5]";"adj noun noun";"[2, 1, 1]";"True";"0,8571428571428571";"0,6899301";"0,7171908";"0,778971";"0,42422512";"0,8393334";"1";"1";"1";"1";"1";"1";"1";"1"
"participant signi";"[57, 161, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,844514";"0,62109077";"0,90467465";"0,87599534";"0,9762952";"1";"1";"1";"0";"1";"1";"1";"1"
"low total score";"[558, 209, 38]";"adj adj noun";"[2, 2, 1]";"True";"0,7142857142857143";"0,6037629";"0,47337618";"0,6876391";"0,5425091";"0,7115274";"1";"1";"1";"0";"1";"1";"1";"1"
"viable platform";"[348, 195, 0]";"adj noun";"[2, 1, 0]";"True";"0,5714285714285714";"0,5211431";"0,50071084";"0,7869692";"0,4392642";"0,35762817";"1";"1";"1";"0";"1";"1";"1";"1"
"service practice";"[20, 2, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,70816016";"0,963665";"0,5133937";"0,6167231";"0,7388589";"1";"1";"1";"0";"1";"1";"1";"1"
"room simulation learn";"[24, 36, 114]";"noun noun verb";"[1, 1, 4]";"True";"1,0";"0,8933157";"0,99593437";"0,9922489";"0,6800814";"0,9049981";"1";"1";"1";"1";"1";"1";"1";"1"
"pediatric primary";"[6, 21, 0]";"adj noun";"[2, 1, 0]";"True";"0,8571428571428571";"0,69627047";"0,3604552";"0,595359";"0,83700716";"0,9922605";"1";"1";"1";"1";"1";"1";"1";"1"
"qualitative content analysis";"[92, 63, 59]";"adj noun noun";"[2, 1, 1]";"True";"0,42857142857142855";"0,3243535";"0,3457837";"0,4679193";"0,36995372";"0,11375727";"1";"1";"1";"1";"1";"1";"1";"1"
"care simulation";"[14, 36, 0]";"noun noun";"[1, 1, 0]";"True";"0,8571428571428571";"0,61938775";"0,32643688";"0,63991034";"0,5185434";"0,9926603";"1";"1";"1";"1";"1";"1";"1";"1"
"index term";"[43, 252, 0]";"noun noun";"[1, 1, 0]";"False";"0,5714285714285714";"0,53385586";"0,5914448";"0,9116383";"0,42433992";"0,20800042";"1";"1";"1";"0";"1";"1";"1";"1"
"teaching team";"[177, 82, 0]";"verb noun";"[4, 1, 0]";"True";"0,7142857142857143";"0,6587992";"0,45899698";"0,5683007";"0,6542432";"0,9536557";"1";"1";"1";"0";"1";"1";"1";"1"
