"Term";"Term_Token";"POS";"POS_Token";"Is_gold_term";"Mean_predictions";"Mean_predictions_tf";"Prediction_model_tf";"Prediction_model_tf2";"Prediction_model_tf_embe";"Prediction_model_tf_lstm";"Predictions_m_tk";"Prediction_model_tk_1";"Prediction_model_tk_2";"Prediction_model_tk_3";"Predictions_m_vc";"Prediction_model_vc_4";"Prediction_model_vc_5";"Prediction_model_vc_6"
"autocuidado";"[239, 0, 0]";"adj";"[2, 0, 0]";"False";"0,0";"0,35990512";"0,35930836";"0,34427252";"0,43529117";"0,3007484";"0";"0";"0";"0";"0";"0";"0";"0"
"trabalho";"[273, 0, 0]";"verb";"[3, 0, 0]";"False";"0,0";"0,3441447";"0,29098645";"0,32114157";"0,36150703";"0,4029438";"0";"0";"0";"0";"0";"0";"0";"0"
"cuidados intensivos";"[311, 312, 0]";"noun adj";"[1, 2, 0]";"True";"0,14285714285714285";"0,34213006";"0,08285097";"0,22608961";"0,44396108";"0,61561865";"0";"0";"0";"0";"1";"0";"0";"0"
"actividad recreativa";"[7, 219, 0]";"noun adj";"[1, 2, 0]";"True";"0,42857142857142855";"0,5887643";"0,19292092";"0,36991364";"0,81795436";"0,9742683";"0";"1";"0";"0";"1";"1";"1";"1"
"ventilación mecánica";"[47, 48, 0]";"noun adj";"[1, 2, 0]";"True";"0,5714285714285714";"0,6715011";"0,36644357";"0,48554233";"0,8590938";"0,97492474";"0";"1";"1";"0";"1";"1";"1";"1"
"nivel global";"[138, 139, 0]";"noun adj";"[1, 2, 0]";"False";"0,2857142857142857";"0,44374913";"0,2855225";"0,38747296";"0,44733086";"0,65467024";"0";"0";"1";"0";"1";"0";"0";"0"
"práctica basada";"[24, 304, 0]";"adj adj";"[2, 2, 0]";"False";"0,2857142857142857";"0,53280354";"0,048786618";"0,37045762";"0,7395448";"0,9724251";"0";"0";"0";"0";"1";"1";"1";"1"
"desarrollo socio";"[5, 75, 0]";"noun noun";"[1, 1, 0]";"False";"0,7142857142857143";"0,69111705";"0,4118287";"0,4878301";"0,87750435";"0,987305";"1";"1";"1";"1";"1";"1";"1";"1"
"disfunción";"[51, 0, 0]";"noun";"[1, 0, 0]";"True";"0,8571428571428571";"0,71623504";"0,80956054";"0,4905426";"0,6767888";"0,88804805";"1";"1";"1";"1";"1";"1";"1";"1"
"cuidador";"[125, 0, 0]";"noun";"[1, 0, 0]";"True";"0,5714285714285714";"0,49566042";"0,65767777";"0,43065578";"0,45757917";"0,43672895";"1";"1";"1";"1";"0";"0";"0";"0"
"justicia ocupacional";"[262, 1, 0]";"noun adj";"[1, 2, 0]";"True";"0,7142857142857143";"0,583894";"0,34906045";"0,34019685";"0,712769";"0,93354976";"1";"1";"1";"1";"1";"1";"1";"1"
"neurociencias";"[91, 0, 0]";"noun";"[1, 0, 0]";"False";"0,5714285714285714";"0,46940035";"0,6427825";"0,45802638";"0,37383747";"0,40295509";"1";"1";"1";"1";"0";"0";"0";"0"
"diagnóstico comunicativo";"[101, 102, 0]";"noun adj";"[1, 2, 0]";"True";"0,14285714285714285";"0,4166081";"0,31721762";"0,42734107";"0,50714374";"0,41473";"0";"0";"0";"0";"1";"0";"0";"0"
"diferencias negativas";"[83, 279, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,29163432";"0,15139723";"0,51210225";"0,2541942";"0,2488436";"0";"0";"0";"0";"0";"0";"0";"0"
"actividad instrumental";"[7, 188, 0]";"noun adj";"[1, 2, 0]";"True";"0,5714285714285714";"0,61861837";"0,287784";"0,39628643";"0,8192887";"0,97111446";"0";"1";"1";"0";"1";"1";"1";"1"
"parámetro normal";"[105, 38, 0]";"noun adj";"[1, 2, 0]";"True";"0,2857142857142857";"0,57779765";"0,29940566";"0,46360978";"0,6138962";"0,93427896";"1";"0";"0";"0";"0";"1";"1";"1"
"observaciones clínicas";"[190, 191, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,42316145";"0,19406807";"0,3339965";"0,3541452";"0,810436";"1";"0";"0";"0";"1";"0";"0";"0"
"acciones profesionales";"[146, 56, 0]";"noun adj";"[1, 2, 0]";"False";"0,0";"0,32003623";"0,21014784";"0,40344805";"0,33837587";"0,32817316";"1";"0";"0";"0";"1";"0";"0";"0"
"vulneraciones";"[217, 0, 0]";"noun";"[1, 0, 0]";"False";"0,0";"0,37631616";"0,41701618";"0,35939";"0,3691748";"0,3596836";"0";"0";"0";"0";"0";"0";"0";"0"
"universidad andrés";"[307, 308, 0]";"noun propn";"[1, 4, 0]";"False";"0,0";"0,30079508";"0,09133874";"0,22940713";"0,41687056";"0,4655639";"1";"0";"0";"0";"1";"0";"0";"0"
"base segura";"[336, 337, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,33503568";"0,069205984";"0,20715338";"0,59174395";"0,47203946";"1";"0";"0";"0";"1";"0";"0";"0"
"psicosocial";"[29, 0, 0]";"adj";"[2, 0, 0]";"False";"0,7142857142857143";"0,6942973";"0,9842733";"0,5149622";"0,37461725";"0,9033365";"0";"0";"1";"1";"1";"1";"1";"1"
"actividades instrumentales";"[2, 198, 0]";"noun adj";"[1, 2, 0]";"False";"0,0";"0,21433932";"0,23670945";"0,3734827";"0,069877625";"0,17728747";"0";"0";"0";"0";"0";"0";"0";"0"
"audífonos";"[145, 0, 0]";"adj";"[2, 0, 0]";"False";"0,14285714285714285";"0,4770571";"0,6192378";"0,41635877";"0,4631986";"0,40943307";"0";"0";"0";"0";"0";"0";"0";"0"
"injusticia ocupacional";"[197, 1, 0]";"noun adj";"[1, 2, 0]";"True";"0,8571428571428571";"0,6520047";"0,5074234";"0,38925898";"0,7661399";"0,9451966";"0";"1";"1";"1";"1";"1";"1";"1"
"factores personales";"[196, 36, 0]";"noun adj";"[1, 2, 0]";"False";"0,0";"0,34769946";"0,3700276";"0,46783304";"0,2683616";"0,28457558";"1";"0";"0";"0";"0";"0";"0";"0"
"lévinas";"[106, 0, 0]";"adj";"[2, 0, 0]";"False";"0,14285714285714285";"0,48800442";"0,6410102";"0,44755676";"0,46410087";"0,39934984";"1";"0";"0";"0";"0";"0";"0";"0"
"punto máximo";"[203, 31, 0]";"noun adj";"[1, 2, 0]";"False";"0,0";"0,37087023";"0,3354572";"0,47571212";"0,3310434";"0,34126818";"1";"0";"0";"0";"0";"0";"0";"0"
"bellido";"[330, 0, 0]";"adj";"[2, 0, 0]";"False";"0,0";"0,35423276";"0,2182612";"0,280694";"0,48854813";"0,4294277";"0";"0";"0";"0";"0";"0";"0";"0"
"cinda";"[37, 0, 0]";"verb";"[3, 0, 0]";"False";"0,5714285714285714";"0,5236317";"0,93691945";"0,514344";"0,42713657";"0,21612678";"1";"1";"1";"0";"1";"0";"0";"0"
"terapeutas";"[59, 0, 0]";"noun";"[1, 0, 0]";"False";"0,5714285714285714";"0,39531517";"0,7217443";"0,4840241";"0,15019925";"0,225293";"1";"1";"1";"1";"0";"0";"0";"0"
"universidade nacional";"[68, 298, 0]";"noun adj";"[1, 2, 0]";"False";"0,0";"0,27891594";"0,044474237";"0,45719832";"0,33436516";"0,27962598";"1";"0";"0";"0";"1";"0";"0";"0"
"efectos positivos";"[169, 170, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,3783071";"0,2287276";"0,3551718";"0,46002585";"0,46930313";"0";"0";"1";"0";"1";"0";"0";"0"
"proceso madurativo";"[85, 289, 0]";"noun adj";"[1, 2, 0]";"True";"0,42857142857142855";"0,58231145";"0,13239615";"0,50917864";"0,7392333";"0,94843775";"0";"0";"0";"0";"0";"1";"1";"1"
"actividades recreativas";"[2, 33, 0]";"noun adj";"[1, 2, 0]";"False";"0,2857142857142857";"0,30319464";"0,51482433";"0,51250345";"0,04382412";"0,14162672";"0";"0";"0";"0";"0";"0";"0";"0"
"organismo internacional";"[255, 256, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,37769985";"0,119696006";"0,27280435";"0,4852533";"0,6330458";"1";"0";"0";"0";"1";"0";"0";"0"
"grupo interdisciplinario";"[16, 94, 0]";"noun adj";"[1, 2, 0]";"True";"0,42857142857142855";"0,681298";"0,46491292";"0,49530885";"0,81144774";"0,9535225";"1";"1";"0";"0";"1";"1";"1";"1"
"arón";"[227, 0, 0]";"noun";"[1, 0, 0]";"False";"0,14285714285714285";"0,4158464";"0,39254242";"0,35200146";"0,38336745";"0,53547424";"0";"0";"0";"0";"0";"0";"0";"0"
"aproximación reflexiva";"[316, 317, 0]";"noun adj";"[1, 2, 0]";"False";"0,42857142857142855";"0,29945642";"0,07993072";"0,22220618";"0,36024433";"0,53544444";"0";"1";"1";"0";"1";"0";"0";"0"
"otredad";"[334, 0, 0]";"noun";"[1, 0, 0]";"True";"0,14285714285714285";"0,32995242";"0,21832474";"0,27783513";"0,4735365";"0,3501133";"1";"0";"1";"0";"0";"0";"0";"0"
