"Term";"Term_Token";"POS";"POS_Token";"Is_gold_term";"Mean_predictions";"Mean_predictions_tf";"Prediction_model_tf";"Prediction_model_tf2";"Prediction_model_tf_embe";"Prediction_model_tf_lstm";"Predictions_m_tk";"Prediction_model_tk_1";"Prediction_model_tk_2";"Prediction_model_tk_3";"Predictions_m_vc";"Prediction_model_vc_4";"Prediction_model_vc_5";"Prediction_model_vc_6"
"attitude ludique";"[157, 5, 0]";"noun adj";"[1, 2, 0]";"True";"1,0";"0,66409683";"0,8016922";"0,52895606";"0,65412617";"0,67161286";"0";"1";"1";"1";"1";"1";"1";"1"
"reproductibilité";"[265, 0, 0]";"noun";"[1, 0, 0]";"True";"0,5714285714285714";"0,44177234";"0,2871379";"0,45549327";"0,5052536";"0,51920456";"0";"1";"0";"1";"1";"1";"1";"1"
"caillois";"[256, 0, 0]";"noun";"[1, 0, 0]";"False";"0,5714285714285714";"0,44856864";"0,30776745";"0,45733753";"0,54693484";"0,48223472";"1";"1";"1";"1";"1";"1";"1";"1"
"analyse cinésiologique";"[53, 354, 0]";"noun adj";"[1, 2, 0]";"True";"0,7142857142857143";"0,57558906";"0,3860616";"0,3670529";"0,8531089";"0,6961328";"1";"1";"1";"1";"1";"1";"1";"1"
"diagnostic ergothérapique";"[294, 8, 0]";"noun adj";"[1, 2, 0]";"True";"1,0";"0,6811695";"0,5731115";"0,5286616";"0,866933";"0,75597215";"1";"1";"1";"1";"1";"1";"1";"1"
"caractéristiques générationnelles";"[202, 203, 0]";"noun adj";"[1, 2, 0]";"False";"0,42857142857142855";"0,48377663";"0,46608713";"0,52183956";"0,35592672";"0,59125304";"1";"0";"1";"0";"1";"1";"1";"1"
"participation sociale";"[51, 12, 0]";"noun adj";"[1, 2, 0]";"False";"1,0";"0,77488446";"0,93582994";"0,52534777";"0,88734424";"0,75101596";"1";"1";"1";"1";"1";"1";"1";"1"
"coordination motrice";"[92, 40, 0]";"noun adj";"[1, 2, 0]";"True";"1,0";"0,64361334";"0,52897143";"0,5270887";"0,81128734";"0,707106";"0";"1";"1";"1";"1";"1";"1";"1"
"année universitaire";"[225, 226, 0]";"noun adj";"[1, 2, 0]";"False";"0,2857142857142857";"0,5112838";"0,46727946";"0,522678";"0,46764252";"0,5875353";"0";"0";"0";"0";"1";"1";"1";"1"
"activités professionnelles";"[1, 17, 0]";"noun adj";"[1, 2, 0]";"False";"0,42857142857142855";"0,3717691";"0,77170265";"0,5080153";"0,028857661";"0,17850079";"1";"0";"0";"1";"0";"0";"0";"0"
"pédiatrie";"[194, 0, 0]";"noun";"[1, 0, 0]";"True";"0,8571428571428571";"0,5176677";"0,5008546";"0,47007716";"0,5405913";"0,55914783";"1";"1";"1";"1";"1";"1";"1";"1"
"support pédagogique";"[46, 18, 0]";"noun adj";"[1, 2, 0]";"True";"1,0";"0,79047024";"0,91946626";"0,51809824";"0,9550129";"0,76930356";"1";"1";"1";"1";"1";"1";"1";"1"
"motricité cérébrale";"[13, 24, 0]";"noun adj";"[1, 2, 0]";"True";"0,7142857142857143";"0,4667707";"0,23688126";"0,5005249";"0,528464";"0,6012128";"0";"1";"0";"1";"1";"1";"1";"1"
"occupational";"[263, 0, 0]";"propn";"[4, 0, 0]";"False";"0,14285714285714285";"0,43545604";"0,26624265";"0,45360324";"0,39039543";"0,6315828";"0";"0";"0";"0";"1";"1";"1";"1"
"fédération mondiale";"[159, 160, 0]";"noun adj";"[1, 2, 0]";"False";"0,8571428571428571";"0,5209713";"0,4560689";"0,5202716";"0,54899526";"0,55854934";"1";"1";"1";"1";"1";"1";"1";"1"
"activité professionnelle";"[2, 4, 0]";"noun adj";"[1, 2, 0]";"True";"1,0";"0,79957986";"0,9915611";"0,51360005";"0,901882";"0,7912762";"1";"1";"1";"1";"1";"1";"1";"1"
"activites";"[323, 0, 0]";"noun";"[1, 0, 0]";"False";"0,14285714285714285";"0,4114883";"0,21386062";"0,44363335";"0,4718736";"0,51658565";"1";"0";"0";"0";"1";"1";"1";"1"
"fonction déficitaire";"[88, 89, 0]";"noun adj";"[1, 2, 0]";"True";"0,42857142857142855";"0,5019151";"0,27867645";"0,517682";"0,6175824";"0,59371954";"0";"0";"0";"0";"1";"1";"1";"1"
"potentiel physique";"[59, 11, 0]";"noun adj";"[1, 2, 0]";"False";"0,8571428571428571";"0,716708";"0,9058372";"0,5351701";"0,7264409";"0,6993839";"1";"1";"0";"1";"1";"1";"1";"1"
"écriture manuscrite";"[133, 134, 0]";"noun adj";"[1, 2, 0]";"True";"0,8571428571428571";"0,50919706";"0,4317468";"0,51932335";"0,55526537";"0,5304528";"1";"1";"1";"1";"1";"1";"1";"1"
"relations spatiales";"[211, 65, 0]";"noun adj";"[1, 2, 0]";"False";"0,14285714285714285";"0,38716894";"0,40201285";"0,5549893";"0,18527251";"0,40640122";"0";"0";"0";"0";"0";"0";"0";"0"
"jeux vidéo";"[150, 151, 0]";"noun noun";"[1, 1, 0]";"True";"0,7142857142857143";"0,5012446";"0,4522766";"0,51736623";"0,5717578";"0,46357784";"1";"1";"1";"1";"1";"1";"1";"1"
"situation professionnelle";"[3, 4, 0]";"noun adj";"[1, 2, 0]";"False";"0,7142857142857143";"0,54227537";"0,9918286";"0,5167087";"0,2683914";"0,39217278";"1";"1";"1";"1";"0";"0";"0";"0"
"réingénierie";"[200, 0, 0]";"noun";"[1, 0, 0]";"True";"0,5714285714285714";"0,48262823";"0,48441935";"0,46884263";"0,40189397";"0,57535696";"1";"1";"1";"1";"1";"1";"1";"1"
"risque modéré";"[291, 66, 0]";"noun adj";"[1, 2, 0]";"False";"0,2857142857142857";"0,44574705";"0,48736092";"0,6097239";"0,21616846";"0,46973476";"0";"0";"0";"1";"0";"0";"0";"0"
"praxique";"[103, 0, 0]";"adj";"[2, 0, 0]";"True";"0,2857142857142857";"0,4090562";"0,20861988";"0,48810938";"0,41144475";"0,52805084";"1";"0";"0";"1";"1";"1";"1";"1"
"activité thérapeutique";"[2, 7, 0]";"noun adj";"[1, 2, 0]";"True";"1,0";"0,84674245";"0,9887518";"0,5133878";"0,9852605";"0,8995697";"1";"1";"1";"1";"1";"1";"1";"1"
"compétences essentielles";"[74, 258, 0]";"noun adj";"[1, 2, 0]";"False";"0,2857142857142857";"0,3972191";"0,65643597";"0,47378993";"0,13623607";"0,32241443";"1";"0";"1";"0";"0";"0";"0";"0"
"appareillages";"[290, 0, 0]";"noun";"[1, 0, 0]";"False";"0,5714285714285714";"0,4463";"0,24494876";"0,45037416";"0,5859005";"0,5039766";"1";"1";"1";"0";"1";"1";"1";"1"
"pratique professionnelle";"[172, 4, 0]";"noun adj";"[1, 2, 0]";"True";"0,7142857142857143";"0,46709108";"0,7774824";"0,51598144";"0,18779087";"0,3871097";"0";"1";"1";"1";"1";"0";"0";"0"
"arguments issus";"[243, 244, 0]";"noun adj";"[1, 2, 0]";"False";"0,7142857142857143";"0,52366996";"0,46768153";"0,5233337";"0,578203";"0,5254617";"1";"1";"1";"0";"1";"1";"1";"1"
"travail perceptif";"[248, 249, 0]";"noun adj";"[1, 2, 0]";"True";"0,8571428571428571";"0,52668244";"0,4677518";"0,5235165";"0,54881674";"0,56664467";"0";"1";"1";"1";"1";"1";"1";"1"
"figure géométrique";"[96, 97, 0]";"verb adj";"[3, 2, 0]";"True";"0,2857142857142857";"0,44964284";"0,3220237";"0,5187543";"0,50040346";"0,4573899";"0";"0";"0";"0";"1";"1";"1";"1"
"modèle pédagogique";"[14, 18, 0]";"noun adj";"[1, 2, 0]";"True";"0,8571428571428571";"0,6562803";"0,33624706";"0,51078147";"0,96361285";"0,81447977";"1";"1";"1";"1";"0";"1";"1";"1"
